"code_muni";"name_muni";"latitude";"longitude";"produtividade_media";"produtividade_atingivel"
"5206800";"Damolândia";"-16,25564585";"-49,33371733";"3346,333333";"3539"
"5206909";"Davinópolis";"-18,11752213";"-47,56542815";"3783,333333";"4000"
"5207105";"Diorama";"-16,22325746";"-51,35046369";"3460";"3720"
"5207253";"Doverlândia";"-16,80472603";"-52,49321918";"3446,333333";"3950"
"5207352";"Edealina";"-17,42015991";"-49,73963432";"3414,5";"3700"
"5207402";"Edéia";"-17,47703101";"-49,9638064";"3225";"3600"
"5207501";"Estrela do Norte";"-13,81426713";"-49,08620836";"2893,166667";"3296"
"5207535";"Faina";"-15,43552065";"-50,37055337";"3350";"3600"
"5207600";"Fazenda Nova";"-16,15139593";"-50,85764479";"3173,333333";"3720"
"5207808";"Firminópolis";"-16,63999763";"-50,31282662";"3511,5";"3720"
"5207907";"Flores de Goiás";"-14,6514498";"-46,90554421";"3205,666667";"3635"
"5208004";"Formosa";"-15,30753597";"-47,24690106";"3468,666667";"3776"
"5208103";"Formoso";"-13,72240752";"-48,86813472";"1733";"1733"
"5208152";"Gameleira de Goiás";"-16,40338949";"-48,67374587";"3613,333333";"3800"
"5208301";"Divinópolis de Goiás";"-13,2643053";"-46,51916398";"1950";"2700"
"5208400";"Goianápolis";"-16,51511618";"-49,06607735";"3331,5";"3414"
"5208509";"Goiandira";"-18,12308762";"-48,13887582";"3783,333333";"4200"
"5208608";"Goianésia";"-15,27506791";"-49,16645001";"3158,333333";"3750"
"5208707";"Goiânia";"-16,64352775";"-49,2737945";"3650,5";"3851"
"5208806";"Goianira";"-16,50027548";"-49,4285931";"3413,833333";"3850"
"5208905";"Goiás";"-15,84705743";"-50,24257784";"3375";"3600"
"5209101";"Goiatuba";"-17,99365285";"-49,65878731";"3405";"3850"
"5209150";"Gouvelândia";"-18,50918115";"-50,15575564";"3380";"4100"
"5209200";"Guapó";"-16,91149159";"-49,57177333";"3233,333333";"3600"
"5209291";"Guaraíta";"-15,67277142";"-50,05013821";"2500";"2500"
"5209408";"Guarani de Goiás";"-13,88942724";"-46,43246645";"2641,5";"3358"
"5209457";"Guarinos";"-14,69940859";"-49,73069241";"2806";"2806"
"5209606";"Heitoraí";"-15,7435932";"-49,78410348";"3280,833333";"3811"
"5209705";"Hidrolândia";"-17,01150408";"-49,26680552";"3036,666667";"3200"
"5209804";"Hidrolina";"-14,7395118";"-49,36302739";"3220";"3500"
"5209903";"Iaciara";"-14,09059572";"-46,75505864";"3452,666667";"4215"
"5209937";"Inaciolândia";"-18,50935794";"-49,91560081";"3541,666667";"4200"
"5209952";"Indiara";"-17,18517977";"-49,96816768";"3242,166667";"3500"
"5210000";"Inhumas";"-16,30760518";"-49,51591735";"3407,5";"3826"
"5210109";"Ipameri";"-17,50588916";"-48,05449478";"3684";"4000"
"5210158";"Ipiranga de Goiás";"-15,16872089";"-49,66959035";"3307,333333";"3900"
"5210208";"Iporá";"-16,41655759";"-51,18097375";"3460";"3720"
"5210307";"Israelândia";"-16,35766297";"-50,8812509";"3473,333333";"3720"
"5210406";"Itaberaí";"-16,08087365";"-49,82280684";"3438,833333";"3800"
"5210562";"Itaguari";"-15,93790045";"-49,62446016";"3491,333333";"3967"
"5210604";"Itaguaru";"-15,77328377";"-49,61210642";"3432,333333";"3800"
"5210802";"Itajá";"-19,10118912";"-51,31955091";"3453";"3900"
"5210901";"Itapaci";"-14,94236561";"-49,64716323";"3348,833333";"3900"
"5211008";"Itapirapuã";"-15,70287991";"-50,77153856";"3116,666667";"3600"
"5211206";"Itapuranga";"-15,54796843";"-49,94973151";"2402";"2500"
"5211305";"Itarumã";"-18,84421113";"-51,33067692";"3086,666667";"3600"
"5211404";"Itauçu";"-16,19533486";"-49,60806639";"3404,333333";"3960"
"5211503";"Itumbiara";"-18,35362934";"-49,41748836";"3561,666667";"4220"
"5211602";"Ivolândia";"-16,67636087";"-51,03547736";"3410";"3720"
"5211701";"Jandaia";"-17,09221054";"-50,18214875";"3205,5";"3600"
"5211800";"Jaraguá";"-15,70233491";"-49,38599685";"2859,5";"3500"
"5211909";"Jataí";"-17,9095539";"-51,73218574";"3756,666667";"3900"
"5212006";"Jaupaci";"-16,19042911";"-51,05899768";"3440";"3720"
"5212055";"Jesúpolis";"-15,96233644";"-49,41050897";"3650";"4200"
"5212105";"Joviânia";"-17,79514432";"-49,61891761";"3533,333333";"4000"
"5212204";"Jussara";"-15,58268487";"-51,33027175";"3400";"3600"
"5212253";"Lagoa Santa";"-19,18260914";"-51,28409182";"NA";"#NOME?"
"5212303";"Leopoldo de Bulhões";"-16,57042288";"-48,88813718";"3571,5";"3700"
"5212501";"Luziânia";"-16,48178249";"-47,99160021";"3830,5";"4083"
"5212600";"Mairipotaba";"-17,30039752";"-49,45714899";"3357,833333";"3600"
"5212709";"Mambaí";"-14,42016958";"-46,06702631";"2700";"3300"
"5212808";"Mara Rosa";"-13,99701967";"-49,39439915";"3150";"3500"
"5212907";"Marzagão";"-17,98620356";"-48,68841842";"3433,333333";"3700"
"5212956";"Matrinchã";"-15,37754324";"-50,77443359";"3166,666667";"3600"
"5213004";"Maurilândia";"-18,03625529";"-50,36390478";"3269,166667";"3500"
"5213053";"Mimoso de Goiás";"-15,01773209";"-48,30816331";"3631,166667";"3900"
"5213087";"Minaçu";"-13,49915941";"-48,34850563";"2881,5";"3430"
"5213103";"Mineiros";"-17,63102717";"-52,76605026";"3612,333333";"4000"
"5213400";"Moiporá";"-16,50794296";"-50,77283321";"3396,666667";"3720"
"5213509";"Monte Alegre de Goiás";"-13,2946042";"-46,92385439";"3435,166667";"4100"
"5213707";"Montes Claros de Goiás";"-15,91440776";"-51,57992167";"3450";"3720"
"5213756";"Montividiu";"-17,31797823";"-51,18990038";"3569,166667";"3900"
"5213772";"Montividiu do Norte";"-13,14524328";"-48,73159328";"3057,666667";"3296"
"5213806";"Morrinhos";"-17,77472217";"-49,12873082";"3520";"3840"
"5213855";"Morro Agudo de Goiás";"-15,31123117";"-50,0115741";"2423";"2615"
"5213905";"Mossâmedes";"-16,16237043";"-50,15835861";"3393,333333";"3600"
"5214002";"Mozarlândia";"-14,84292675";"-50,5875493";"3283,333333";"3600"
"5214051";"Mundo Novo";"-13,79737991";"-50,2035025";"3333,333333";"3600"
"5214101";"Mutunópolis";"-13,71896486";"-49,30352219";"2407";"2807"
"5214408";"Nazário";"-16,58337946";"-49,84950979";"3337,833333";"3720"
"5214507";"Nerópolis";"-16,42678172";"-49,18477702";"3258";"3477"
"5214606";"Niquelândia";"-14,49907991";"-48,40137747";"3375";"3600"
"5214705";"Nova América";"-15,04516667";"-49,9343186";"NA";"#NOME?"
"5214804";"Nova Aurora";"-18,10032611";"-48,29656096";"3431,6";"3636"
"5214838";"Nova Crixás";"-14,13379251";"-50,56173591";"3441,666667";"3750"
"5214861";"Nova Glória";"-15,07765211";"-49,50737264";"2933,333333";"3800"
"5214879";"Nova Iguaçu de Goiás";"-14,31207461";"-49,28833424";"3097,166667";"3480"
"5214903";"Nova Roma";"-13,80048433";"-47,0103445";"3908,5";"4620"
"5215009";"Nova Veneza";"-16,35852647";"-49,30649294";"3568,5";"3811"
"5215207";"Novo Brasil";"-16,05478163";"-50,6462523";"NA";"#NOME?"
"5215231";"Novo Gama";"-16,12492207";"-48,07458859";"3026,333333";"3899"
"5215256";"Novo Planalto";"-13,25052972";"-49,72677064";"2869";"2981"
"5215306";"Orizona";"-17,00780827";"-48,19487895";"3591,666667";"3900"
"5215405";"Ouro Verde de Goiás";"-16,25451467";"-49,21964694";"NA";"#NOME?"
"5215504";"Ouvidor";"-18,21820822";"-47,74704878";"3793,5";"4080"
"5215603";"Padre Bernardo";"-15,36142378";"-48,30430758";"3597,666667";"3900"
"5215652";"Palestina de Goiás";"-16,7045312";"-51,44185049";"3369,333333";"3800"
"5215702";"Palmeiras de Goiás";"-16,80904948";"-49,9447727";"3398,333333";"3600"
"5215801";"Palmelo";"-17,30630679";"-48,39732073";"3477,5";"3700"
"5215900";"Palminópolis";"-16,82040765";"-50,19406671";"3105,666667";"3450"
"5216007";"Panamá";"-18,20458577";"-49,40391355";"3541,666667";"4000"
"5216304";"Paranaiguara";"-18,80856317";"-50,62414228";"3059,333333";"3600"
"5216403";"Paraúna";"-17,04709439";"-50,63796459";"3670";"4200"
"5216452";"Perolândia";"-17,49404125";"-52,22515169";"3433,333333";"3800"
"5216809";"Petrolina de Goiás";"-16,11179338";"-49,31576674";"3186,666667";"3600"
"5216908";"Pilar de Goiás";"-14,58690951";"-49,52172602";"2583";"2583"
"5217104";"Piracanjuba";"-17,33235841";"-48,99279307";"3520";"4020"
"5217203";"Piranhas";"-16,41406056";"-51,84216373";"3387,833333";"3487"
"5217302";"Pirenópolis";"-15,81004535";"-49,01109933";"3429,166667";"3600"
"5217401";"Pires do Rio";"-17,27165504";"-48,38883913";"3540";"3720"
"5217609";"Planaltina";"-15,28447501";"-47,75040324";"3409,333333";"3600"
"5217708";"Pontalina";"-17,53113692";"-49,53776283";"3500";"3900"
"5218003";"Porangatu";"-13,29228439";"-49,23061095";"2932";"3130"
"5218052";"Porteirão";"-17,90117445";"-50,14787478";"3521,666667";"4180"
"5218102";"Portelândia";"-17,35126415";"-52,7048233";"3513,333333";"3750"
"5218300";"Posse";"-14,22991809";"-46,43561423";"2496";"2700"
"5218391";"Professor Jamil";"-17,27082718";"-49,24493794";"3323";"3600"
"5218508";"Quirinópolis";"-18,43746113";"-50,52917111";"3095";"3720"
"5218607";"Rialma";"-15,34082391";"-49,53171165";"3077,833333";"3800"
"5218706";"Rianápolis";"-15,47263825";"-49,44140343";"2883,333333";"3300"
"5218789";"Rio Quente";"-17,83215714";"-48,78198019";"3325,833333";"3860"
"5218805";"Rio Verde";"-17,73911855";"-51,03851062";"3696,666667";"4200"
"5218904";"Rubiataba";"-15,18056886";"-49,87654222";"2597,5";"2600"
"5219001";"Sanclerlândia";"-16,28508602";"-50,37521557";"3192,166667";"3400"
"5219100";"Santa Bárbara de Goiás";"-16,59671128";"-49,67867547";"3383,833333";"3720"
"5219209";"Santa Cruz de Goiás";"-17,35981283";"-48,59365761";"3561,5";"3780"
"5219258";"Santa Fé de Goiás";"-15,66740702";"-51,1714977";"3205";"3480"
"5219308";"Santa Helena de Goiás";"-17,80181439";"-50,57912845";"3600";"4200"
"5219357";"Santa Isabel";"-15,25137038";"-49,38897846";"2983,333333";"3800"
"5219407";"Santa Rita do Araguaia";"-17,24447341";"-53,06897551";"3366";"3700"
"5219456";"Santa Rita do Novo Destino";"-14,87676252";"-49,05517882";"3275";"3600"
"5219506";"Santa Rosa de Goiás";"-16,061497";"-49,48143504";"2950,666667";"3650"
"5219605";"Santa Tereza de Goiás";"-13,57203202";"-48,98187452";"3082,5";"3480"
"5219704";"Santa Terezinha de Goiás";"-14,32201043";"-49,67286306";"NA";"#NOME?"
"5219712";"Santo Antônio da Barra";"-17,52547675";"-50,63093661";"3288,833333";"3500"
"5219738";"Santo Antônio de Goiás";"-16,47679557";"-49,29312062";"3582,666667";"3900"
"5219753";"Santo Antônio do Descoberto";"-16,08611538";"-48,2821699";"3401,333333";"3600"
"5219803";"São Domingos";"-13,53395988";"-46,4837949";"3450,833333";"4521"
"5219902";"São Francisco de Goiás";"-15,9515533";"-49,25469523";"3043,333333";"3600"
"5220009";"São João d'Aliança";"-14,48578384";"-47,42284818";"3341,333333";"3660"
"5220058";"São João da Paraúna";"-16,8188567";"-50,37298324";"3378,333333";"3720"
"5220108";"São Luís de Montes Belos";"-16,45551812";"-50,3757208";"3470";"3720"
"5220157";"São Luiz do Norte";"-14,91635897";"-49,27545136";"3293,333333";"3600"
"5220207";"São Miguel do Araguaia";"-13,14489564";"-50,2494295";"3194,166667";"3375"
"5220264";"São Miguel do Passa Quatro";"-16,98953881";"-48,66768645";"3590";"3780"
"5220280";"São Patrício";"-15,36654958";"-49,82713602";"2600";"2600"
"5220405";"São Simão";"-19,01056099";"-50,5904264";"4200";"4800"
"5220454";"Senador Canedo";"-16,70447205";"-49,10727892";"3523,5";"3650"
"5220504";"Serranópolis";"-18,22478351";"-52,21204588";"3499,666667";"3900"
"5220603";"Silvânia";"-16,6071422";"-48,55746088";"3628,333333";"3840"
"5220686";"Simolândia";"-14,43290517";"-46,58289764";"3697,333333";"4067"
"5220702";"Sítio d'Abadia";"-14,75282811";"-46,26941062";"3085,5";"3351"
"5221007";"Taquaral de Goiás";"-16,04550776";"-49,59390741";"3284,166667";"3765"
"5221080";"Teresina de Goiás";"-13,68027246";"-47,23760941";"3060";"3120"
"5221197";"Terezópolis de Goiás";"-16,44232149";"-49,07301748";"3186";"3330"
"5221304";"Três Ranchos";"-18,34353433";"-47,78093416";"3394,5";"3900"
"5221403";"Trindade";"-16,64020001";"-49,54484759";"3471,5";"3882"
"5221452";"Trombas";"-13,42077597";"-48,75347054";"2848,166667";"3426"
"5221502";"Turvânia";"-16,577352";"-50,13233678";"3470";"3720"
"5221551";"Turvelândia";"-17,75462277";"-50,31273788";"3337";"3550"
"5221577";"Uirapuru";"-14,14915419";"-49,96627868";"3135";"3240"
"5221601";"Uruaçu";"-14,4186107";"-49,08940767";"3350";"3600"
"5221700";"Uruana";"-15,57781636";"-49,6422893";"3846,833333";"4500"
"5221809";"Urutaí";"-17,43558309";"-48,19630081";"3540,833333";"3780"
"5221858";"Valparaíso de Goiás";"-16,08472229";"-47,98847174";"3540";"3880"
"5221908";"Varjão";"-17,07804026";"-49,61123784";"3201,5";"3600"
"5222005";"Vianópolis";"-16,81283179";"-48,44077629";"3620,333333";"3902"
"5222054";"Vicentinópolis";"-17,72369819";"-49,87267026";"3561,666667";"4120"
"5222203";"Vila Boa";"-14,99312868";"-47,06241374";"3238,666667";"4000"
"5222302";"Vila Propício";"-15,26972042";"-48,81355431";"2958,333333";"3600"
